origin_time,origin_time_2021,latitude,longitude,depth,magnitude,event_id,rupture_radius,uncertainty_x,uncertainty_y,uncertainty_z,uncertainty_time
2022-12-14 05:15:57.100,32678157.1,40.33,-124.063667,31.99,0.72,1008172,0.01307,15.6533743,8.78152643,1.98184054,0.12731346
2022-12-14 07:11:45.890,32685105.89,39.8085,-123.6155,3.77,0.17,1008173,0.006939,14.68966429,13.23445293,7.91936898,0.15537924
2022-12-14 07:34:51.410,32686491.41,40.2515,-123.512833,1.45,0.24,1008174,0.007521,20.04688464,12.1747149,9.42246974,0.25285852
2022-12-14 08:39:12.430,32690352.43,40.400667,-124.278,26.86,2.11,nc73818541,0.064757,8.76164439,4.22073972,1.54674698,0.84014642
2022-12-14 08:46:44.230,32690804.23,40.406833,-124.278167,25.65,0.79,1008176,0.014167,8.80815888,4.88371478,1.07961063,0.18531632
2022-12-14 09:10:46.030,32692246.03,40.179167,-125.377833,23.34,1.4,1008177,0.028595,4.07745283,4.6213499,9.58080689,0.51707268
2022-12-14 10:39:54.760,32697594.76,40.401667,-124.094167,21.8,1.83,nc73818551,0.046912,14.4863793,3.8801618,3.7801702,0.23037052
2022-12-14 10:58:00.680,32698680.68,40.410167,-124.112,22.98,0.59,1008179,0.011253,13.12849012,6.46353215,2.56695638,0.19585514
2022-12-14 11:06:26.530,32699186.53,39.815833,-123.586833,4.96,-0.38,1008180,0.003684,18.09108861,14.49677918,7.62890564,0.36239636
2022-12-14 11:09:16.200,32699356.2,40.4155,-124.117,24.06,0.53,1008181,0.010502,13.12370944,4.94259629,3.38631664,0.15428162
2022-12-14 13:35:30.000,32708130.0,40.430333,-124.501333,29.48,0.65,1008182,0.012058,6.61960549,6.578478,2.16028373,0.39036155
2022-12-14 13:48:08.800,32708888.8,39.785167,-123.398167,28.74,0.71,1008183,0.012921,20.33689275,10.34794237,2.60601639,0.66686994
2022-12-14 16:00:39.160,32716839.16,40.343,-124.344333,18.39,0.87,1008184,0.015534,7.95521073,7.34239369,3.58179179,0.29606915
2022-12-14 19:28:33.300,32729313.3,40.260667,-124.644333,7.64,1.42,1008185,0.029261,6.51460112,6.90820545,5.55353632,0.5784508
2022-12-14 19:29:01.100,32729341.1,40.429833,-124.536167,28.78,1.26,1008186,0.024338,6.74318306,4.6346515,1.90056377,0.12619448
2022-12-14 22:03:20.380,32738600.38,40.2335,-124.445,9.42,0.27,1008187,0.007785,7.29737434,7.39750859,5.13377146,0.05850518
2022-12-14 22:21:58.310,32739718.31,40.483833,-124.278167,20.84,0.68,1008188,0.012482,9.52734802,2.91082941,1.82631881,0.18597507
2022-12-14 23:50:02.150,32745002.15,40.315167,-124.394667,8.48,0.47,1008189,0.009801,8.20336978,6.11573924,5.51104601,0.73206425
2022-12-15 02:16:04.110,32753764.11,40.465667,-124.477667,29.78,2.47,nc73818801,0.098013,6.46230944,2.11964061,1.08713821,0.76858711
